dt_iso,humidity,temp,rain,dummy,rain_yesterday,rain_2d_ago,rain_3d_ago,rain_4d_ago,rain_5d_ago,rain_6d_ago,rain_7d_ago,temp_yesterday,humidity_yesterday
1979-01-01 00:00:00+00:00,89.20833333,22.83833333,7.55,1,,,,,,,,,
1979-01-02 00:00:00+00:00,86.625,23.54041667,5.02,1,7.55,,,,,,,22.83833333,89.20833333
1979-01-03 00:00:00+00:00,85.33333333,23.30291667,0.37,1,5.02,7.55,,,,,,23.54041667,86.625
1979-01-04 00:00:00+00:00,82.70833333,23.58208333,4.62,1,0.37,5.02,7.55,,,,,23.30291667,85.33333333
1979-01-05 00:00:00+00:00,85.75,23.27125,1.16,1,4.62,0.37,5.02,7.55,,,,23.58208333,82.70833333
1979-01-06 00:00:00+00:00,84.33333333,23.08875,0,0,1.16,4.62,0.37,5.02,7.55,,,23.27125,85.75
1979-01-07 00:00:00+00:00,83.95833333,22.44958333,1.82,1,0,1.16,4.62,0.37,5.02,7.55,,23.08875,84.33333333
1979-01-08 00:00:00+00:00,85.58333333,22.63416667,0,0,1.82,0,1.16,4.62,0.37,5.02,7.55,22.44958333,83.95833333
1979-01-09 00:00:00+00:00,86.375,23.11708333,0,0,0,1.82,0,1.16,4.62,0.37,5.02,22.63416667,85.58333333
1979-01-10 00:00:00+00:00,87.75,23.09208333,0,0,0,0,1.82,0,1.16,4.62,0.37,23.11708333,86.375
1979-01-11 00:00:00+00:00,87.70833333,23.56,0,0,0,0,0,1.82,0,1.16,4.62,23.09208333,87.75
1979-01-12 00:00:00+00:00,86.625,23.94,0.13,1,0,0,0,0,1.82,0,1.16,23.56,87.70833333
1979-01-13 00:00:00+00:00,85.08333333,23.23541667,0.71,1,0.13,0,0,0,0,1.82,0,23.94,86.625
1979-01-14 00:00:00+00:00,83.125,23.59416667,0,0,0.71,0.13,0,0,0,0,1.82,23.23541667,85.08333333
1979-01-15 00:00:00+00:00,87.58333333,22.67708333,11.78,1,0,0.71,0.13,0,0,0,0,23.59416667,83.125
1979-01-16 00:00:00+00:00,88.33333333,22.705,9.76,1,11.78,0,0.71,0.13,0,0,0,22.67708333,87.58333333
1979-01-17 00:00:00+00:00,87.04166667,23.16583333,0,0,9.76,11.78,0,0.71,0.13,0,0,22.705,88.33333333
1979-01-18 00:00:00+00:00,85.125,23.19875,0,0,0,9.76,11.78,0,0.71,0.13,0,23.16583333,87.04166667
1979-01-19 00:00:00+00:00,84.29166667,22.90416667,0.49,1,0,0,9.76,11.78,0,0.71,0.13,23.19875,85.125
1979-01-20 00:00:00+00:00,87.66666667,22.92416667,1.69,1,0.49,0,0,9.76,11.78,0,0.71,22.90416667,84.29166667
1979-01-21 00:00:00+00:00,87,23.27,1.41,1,1.69,0.49,0,0,9.76,11.78,0,22.92416667,87.66666667
1979-01-22 00:00:00+00:00,87,23.43583333,2.31,1,1.41,1.69,0.49,0,0,9.76,11.78,23.27,87
1979-01-23 00:00:00+00:00,88.875,23.29416667,1.81,1,2.31,1.41,1.69,0.49,0,0,9.76,23.43583333,87
1979-01-24 00:00:00+00:00,87.58333333,23.24916667,3.83,1,1.81,2.31,1.41,1.69,0.49,0,0,23.29416667,88.875
1979-01-25 00:00:00+00:00,85.25,23.31333333,4.12,1,3.83,1.81,2.31,1.41,1.69,0.49,0,23.24916667,87.58333333
1979-01-26 00:00:00+00:00,87.79166667,22.67,1.36,1,4.12,3.83,1.81,2.31,1.41,1.69,0.49,23.31333333,85.25
1979-01-27 00:00:00+00:00,87.5,23.29625,0,0,1.36,4.12,3.83,1.81,2.31,1.41,1.69,22.67,87.79166667
1979-01-28 00:00:00+00:00,89.20833333,23.89291667,0,0,0,1.36,4.12,3.83,1.81,2.31,1.41,23.29625,87.5
1979-01-29 00:00:00+00:00,91.875,24.65083333,0,0,0,0,1.36,4.12,3.83,1.81,2.31,23.89291667,89.20833333
1979-01-30 00:00:00+00:00,92.29166667,24.75125,1.76,1,0,0,0,1.36,4.12,3.83,1.81,24.65083333,91.875
1979-01-31 00:00:00+00:00,77.83333333,20.39166667,1.03,1,1.76,0,0,0,1.36,4.12,3.83,24.75125,92.29166667
1979-02-01 00:00:00+00:00,79.58333333,19.10208333,0.49,1,1.03,1.76,0,0,0,1.36,4.12,20.39166667,77.83333333
1979-02-02 00:00:00+00:00,83.04166667,21.0175,0.42,1,0.49,1.03,1.76,0,0,0,1.36,19.10208333,79.58333333
1979-02-03 00:00:00+00:00,84.625,22.63375,0.6,1,0.42,0.49,1.03,1.76,0,0,0,21.0175,83.04166667
1979-02-04 00:00:00+00:00,87.375,23.22875,1.28,1,0.6,0.42,0.49,1.03,1.76,0,0,22.63375,84.625
1979-02-05 00:00:00+00:00,85.75,22.90166667,2.71,1,1.28,0.6,0.42,0.49,1.03,1.76,0,23.22875,87.375
1979-02-06 00:00:00+00:00,85.375,22.50541667,2.81,1,2.71,1.28,0.6,0.42,0.49,1.03,1.76,22.90166667,85.75
1979-02-07 00:00:00+00:00,83.95833333,22.81791667,0.34,1,2.81,2.71,1.28,0.6,0.42,0.49,1.03,22.50541667,85.375
1979-02-08 00:00:00+00:00,87.54166667,22.82958333,0,0,0.34,2.81,2.71,1.28,0.6,0.42,0.49,22.81791667,83.95833333
1979-02-09 00:00:00+00:00,85.79166667,23.19333333,0.12,1,0,0.34,2.81,2.71,1.28,0.6,0.42,22.82958333,87.54166667
1979-02-10 00:00:00+00:00,83.5,23.00375,0,0,0.12,0,0.34,2.81,2.71,1.28,0.6,23.19333333,85.79166667
1979-02-11 00:00:00+00:00,84.91666667,23.37791667,0,0,0,0.12,0,0.34,2.81,2.71,1.28,23.00375,83.5
1979-02-12 00:00:00+00:00,88.875,24.23666667,0,0,0,0,0.12,0,0.34,2.81,2.71,23.37791667,84.91666667
1979-02-13 00:00:00+00:00,90.08333333,24.565,0,0,0,0,0,0.12,0,0.34,2.81,24.23666667,88.875
1979-02-14 00:00:00+00:00,91.16666667,24.18791667,0.72,1,0,0,0,0,0.12,0,0.34,24.565,90.08333333
1979-02-15 00:00:00+00:00,89.125,22.99333333,4.84,1,0.72,0,0,0,0,0.12,0,24.18791667,91.16666667
1979-02-16 00:00:00+00:00,81.83333333,22.61166667,0.66,1,4.84,0.72,0,0,0,0,0.12,22.99333333,89.125
1979-02-17 00:00:00+00:00,81.625,22.39916667,0,0,0.66,4.84,0.72,0,0,0,0,22.61166667,81.83333333
1979-02-18 00:00:00+00:00,83.54166667,22.46583333,0,0,0,0.66,4.84,0.72,0,0,0,22.39916667,81.625
1979-02-19 00:00:00+00:00,86.375,23.25458333,0,0,0,0,0.66,4.84,0.72,0,0,22.46583333,83.54166667
1979-02-20 00:00:00+00:00,89.125,24.87458333,0,0,0,0,0,0.66,4.84,0.72,0,23.25458333,86.375
1979-02-21 00:00:00+00:00,87.125,25.81666667,0,0,0,0,0,0,0.66,4.84,0.72,24.87458333,89.125
1979-02-22 00:00:00+00:00,87.91666667,26.04583333,0,0,0,0,0,0,0,0.66,4.84,25.81666667,87.125
1979-02-23 00:00:00+00:00,89.125,25.96583333,0,0,0,0,0,0,0,0,0.66,26.04583333,87.91666667
1979-02-24 00:00:00+00:00,83.04166667,26.26666667,4.5,1,0,0,0,0,0,0,0,25.96583333,89.125
1979-02-25 00:00:00+00:00,91.33333333,25.73083333,0,0,4.5,0,0,0,0,0,0,26.26666667,83.04166667
1979-02-26 00:00:00+00:00,88.875,24.97541667,6.18,1,0,4.5,0,0,0,0,0,25.73083333,91.33333333
1979-02-27 00:00:00+00:00,87.33333333,24.48708333,0,0,6.18,0,4.5,0,0,0,0,24.97541667,88.875
1979-02-28 00:00:00+00:00,86.41666667,23.94541667,2.36,1,0,6.18,0,4.5,0,0,0,24.48708333,87.33333333
1979-03-01 00:00:00+00:00,86.54166667,23.46708333,8.52,1,2.36,0,6.18,0,4.5,0,0,23.94541667,86.41666667
1979-03-02 00:00:00+00:00,86.95833333,24.05166667,2.51,1,8.52,2.36,0,6.18,0,4.5,0,23.46708333,86.54166667
1979-03-03 00:00:00+00:00,89.79166667,23.66458333,2.7,1,2.51,8.52,2.36,0,6.18,0,4.5,24.05166667,86.95833333
1979-03-04 00:00:00+00:00,86.45833333,24.33375,0.47,1,2.7,2.51,8.52,2.36,0,6.18,0,23.66458333,89.79166667
1979-03-05 00:00:00+00:00,86.29166667,24.5025,0,0,0.47,2.7,2.51,8.52,2.36,0,6.18,24.33375,86.45833333
1979-03-06 00:00:00+00:00,86.91666667,24.58291667,0,0,0,0.47,2.7,2.51,8.52,2.36,0,24.5025,86.29166667
1979-03-07 00:00:00+00:00,88.75,25.335,0,0,0,0,0.47,2.7,2.51,8.52,2.36,24.58291667,86.91666667
1979-03-08 00:00:00+00:00,89.83333333,25.63875,0,0,0,0,0,0.47,2.7,2.51,8.52,25.335,88.75
1979-03-09 00:00:00+00:00,88.54166667,25.97333333,0,0,0,0,0,0,0.47,2.7,2.51,25.63875,89.83333333
1979-03-10 00:00:00+00:00,87.41666667,26.555,0,0,0,0,0,0,0,0.47,2.7,25.97333333,88.54166667
1979-03-11 00:00:00+00:00,88.58333333,26.8075,1.2,1,0,0,0,0,0,0,0.47,26.555,87.41666667
1979-03-12 00:00:00+00:00,89.95833333,26.75208333,0.12,1,1.2,0,0,0,0,0,0,26.8075,88.58333333
1979-03-13 00:00:00+00:00,84.58333333,27.11166667,0.34,1,0.12,1.2,0,0,0,0,0,26.75208333,89.95833333
1979-03-14 00:00:00+00:00,85.41666667,25.205,2.93,1,0.34,0.12,1.2,0,0,0,0,27.11166667,84.58333333
1979-03-15 00:00:00+00:00,88.08333333,24.31083333,1.36,1,2.93,0.34,0.12,1.2,0,0,0,25.205,85.41666667
1979-03-16 00:00:00+00:00,87.58333333,25.20291667,0.18,1,1.36,2.93,0.34,0.12,1.2,0,0,24.31083333,88.08333333
1979-03-17 00:00:00+00:00,88.54166667,25.36958333,0,0,0.18,1.36,2.93,0.34,0.12,1.2,0,25.20291667,87.58333333
1979-03-18 00:00:00+00:00,86.33333333,25.56333333,0,0,0,0.18,1.36,2.93,0.34,0.12,1.2,25.36958333,88.54166667
1979-03-19 00:00:00+00:00,86.25,26.10666667,0.11,1,0,0,0.18,1.36,2.93,0.34,0.12,25.56333333,86.33333333
1979-03-20 00:00:00+00:00,81.70833333,25.59791667,3.59,1,0.11,0,0,0.18,1.36,2.93,0.34,26.10666667,86.25
1979-03-21 00:00:00+00:00,86.95833333,25.19625,0,0,3.59,0.11,0,0,0.18,1.36,2.93,25.59791667,81.70833333
1979-03-22 00:00:00+00:00,86.45833333,26.69541667,0,0,0,3.59,0.11,0,0,0.18,1.36,25.19625,86.95833333
1979-03-23 00:00:00+00:00,91.58333333,26.16458333,1.32,1,0,0,3.59,0.11,0,0,0.18,26.69541667,86.45833333
1979-03-24 00:00:00+00:00,85.375,25.18291667,4.15,1,1.32,0,0,3.59,0.11,0,0,26.16458333,91.58333333
1979-03-25 00:00:00+00:00,84.41666667,24.8625,0,0,4.15,1.32,0,0,3.59,0.11,0,25.18291667,85.375
1979-03-26 00:00:00+00:00,86.83333333,25.17166667,0,0,0,4.15,1.32,0,0,3.59,0.11,24.8625,84.41666667
1979-03-27 00:00:00+00:00,86.25,25.48708333,0,0,0,0,4.15,1.32,0,0,3.59,25.17166667,86.83333333
1979-03-28 00:00:00+00:00,86.04166667,26.08125,0,0,0,0,0,4.15,1.32,0,0,25.48708333,86.25
1979-03-29 00:00:00+00:00,87.29166667,26.58666667,0,0,0,0,0,0,4.15,1.32,0,26.08125,86.04166667
1979-03-30 00:00:00+00:00,82.875,27.34375,0,0,0,0,0,0,0,4.15,1.32,26.58666667,87.29166667
1979-03-31 00:00:00+00:00,83.33333333,27.5425,0,0,0,0,0,0,0,0,4.15,27.34375,82.875
1979-04-01 00:00:00+00:00,84.95833333,27.81666667,0,0,0,0,0,0,0,0,0,27.5425,83.33333333
1979-04-02 00:00:00+00:00,83.70833333,27.71833333,3.08,1,0,0,0,0,0,0,0,27.81666667,84.95833333
1979-04-03 00:00:00+00:00,84.29166667,25.57583333,7.93,1,3.08,0,0,0,0,0,0,27.71833333,83.70833333
1979-04-04 00:00:00+00:00,85.20833333,24.07875,5.77,1,7.93,3.08,0,0,0,0,0,25.57583333,84.29166667
1979-04-05 00:00:00+00:00,84.875,25.09375,0,0,5.77,7.93,3.08,0,0,0,0,24.07875,85.20833333
1979-04-06 00:00:00+00:00,89,26.95041667,0,0,0,5.77,7.93,3.08,0,0,0,25.09375,84.875
1979-04-07 00:00:00+00:00,88.375,27.48291667,0.58,1,0,0,5.77,7.93,3.08,0,0,26.95041667,89
1979-04-08 00:00:00+00:00,88.29166667,27.27958333,0,0,0.58,0,0,5.77,7.93,3.08,0,27.48291667,88.375
1979-04-09 00:00:00+00:00,87.5,26.83666667,1.46,1,0,0.58,0,0,5.77,7.93,3.08,27.27958333,88.29166667
1979-04-10 00:00:00+00:00,88.125,26.51458333,0.31,1,1.46,0,0.58,0,0,5.77,7.93,26.83666667,87.5
1979-04-11 00:00:00+00:00,85.79166667,26.48208333,0,0,0.31,1.46,0,0.58,0,0,5.77,26.51458333,88.125
1979-04-12 00:00:00+00:00,87.04166667,27.06375,0,0,0,0.31,1.46,0,0.58,0,0,26.48208333,85.79166667
1979-04-13 00:00:00+00:00,87.16666667,26.88833333,1.79,1,0,0,0.31,1.46,0,0.58,0,27.06375,87.04166667
1979-04-14 00:00:00+00:00,86.45833333,25.9075,3.43,1,1.79,0,0,0.31,1.46,0,0.58,26.88833333,87.16666667
1979-04-15 00:00:00+00:00,84.25,26.30083333,0,0,3.43,1.79,0,0,0.31,1.46,0,25.9075,86.45833333
1979-04-16 00:00:00+00:00,85.20833333,26.61041667,0.52,1,0,3.43,1.79,0,0,0.31,1.46,26.30083333,84.25
1979-04-17 00:00:00+00:00,86.79166667,27.06791667,0.91,1,0.52,0,3.43,1.79,0,0,0.31,26.61041667,85.20833333
1979-04-18 00:00:00+00:00,88.45833333,27.11916667,2.99,1,0.91,0.52,0,3.43,1.79,0,0,27.06791667,86.79166667
1979-04-19 00:00:00+00:00,86.20833333,27.25583333,3.02,1,2.99,0.91,0.52,0,3.43,1.79,0,27.11916667,88.45833333
1979-04-20 00:00:00+00:00,85.91666667,25.93791667,8.53,1,3.02,2.99,0.91,0.52,0,3.43,1.79,27.25583333,86.20833333
1979-04-21 00:00:00+00:00,86.16666667,26.1125,7.42,1,8.53,3.02,2.99,0.91,0.52,0,3.43,25.93791667,85.91666667
1979-04-22 00:00:00+00:00,85.83333333,27.11541667,1.26,1,7.42,8.53,3.02,2.99,0.91,0.52,0,26.1125,86.16666667
1979-04-23 00:00:00+00:00,86.54166667,27.39083333,0.28,1,1.26,7.42,8.53,3.02,2.99,0.91,0.52,27.11541667,85.83333333
1979-04-24 00:00:00+00:00,86.83333333,27.85208333,0.11,1,0.28,1.26,7.42,8.53,3.02,2.99,0.91,27.39083333,86.54166667
1979-04-25 00:00:00+00:00,85.875,28.13625,0.45,1,0.11,0.28,1.26,7.42,8.53,3.02,2.99,27.85208333,86.83333333
1979-04-26 00:00:00+00:00,85.54166667,28.14166667,0.39,1,0.45,0.11,0.28,1.26,7.42,8.53,3.02,28.13625,85.875
1979-04-27 00:00:00+00:00,83.5,28.26333333,0.37,1,0.39,0.45,0.11,0.28,1.26,7.42,8.53,28.14166667,85.54166667
1979-04-28 00:00:00+00:00,82.83333333,27.68291667,0.18,1,0.37,0.39,0.45,0.11,0.28,1.26,7.42,28.26333333,83.5
1979-04-29 00:00:00+00:00,84.08333333,27.8375,0.63,1,0.18,0.37,0.39,0.45,0.11,0.28,1.26,27.68291667,82.83333333
1979-04-30 00:00:00+00:00,83.04166667,28.11916667,0.45,1,0.63,0.18,0.37,0.39,0.45,0.11,0.28,27.8375,84.08333333
1979-05-01 00:00:00+00:00,82.875,28.3025,0.64,1,0.45,0.63,0.18,0.37,0.39,0.45,0.11,28.11916667,83.04166667
1979-05-02 00:00:00+00:00,87.70833333,26.50791667,21.58,1,0.64,0.45,0.63,0.18,0.37,0.39,0.45,28.3025,82.875
1979-05-03 00:00:00+00:00,90.125,26.62666667,1.82,1,21.58,0.64,0.45,0.63,0.18,0.37,0.39,26.50791667,87.70833333
1979-05-04 00:00:00+00:00,86.25,27.46916667,1.52,1,1.82,21.58,0.64,0.45,0.63,0.18,0.37,26.62666667,90.125
1979-05-05 00:00:00+00:00,86.25,28.37416667,0.8,1,1.52,1.82,21.58,0.64,0.45,0.63,0.18,27.46916667,86.25
1979-05-06 00:00:00+00:00,85.625,28.42458333,1.16,1,0.8,1.52,1.82,21.58,0.64,0.45,0.63,28.37416667,86.25
1979-05-07 00:00:00+00:00,85.375,28.21791667,0.8,1,1.16,0.8,1.52,1.82,21.58,0.64,0.45,28.42458333,85.625
1979-05-08 00:00:00+00:00,83.79166667,28.05458333,0.24,1,0.8,1.16,0.8,1.52,1.82,21.58,0.64,28.21791667,85.375
1979-05-09 00:00:00+00:00,83.08333333,28.555,0.11,1,0.24,0.8,1.16,0.8,1.52,1.82,21.58,28.05458333,83.79166667
1979-05-10 00:00:00+00:00,84.54166667,28.29,0.63,1,0.11,0.24,0.8,1.16,0.8,1.52,1.82,28.555,83.08333333
1979-05-11 00:00:00+00:00,85.125,28.41125,3.67,1,0.63,0.11,0.24,0.8,1.16,0.8,1.52,28.29,84.54166667
1979-05-12 00:00:00+00:00,84.54166667,28.89208333,1.27,1,3.67,0.63,0.11,0.24,0.8,1.16,0.8,28.41125,85.125
1979-05-13 00:00:00+00:00,76.58333333,29.88416667,0.21,1,1.27,3.67,0.63,0.11,0.24,0.8,1.16,28.89208333,84.54166667
1979-05-14 00:00:00+00:00,76.875,30.2,0.68,1,0.21,1.27,3.67,0.63,0.11,0.24,0.8,29.88416667,76.58333333
1979-05-15 00:00:00+00:00,79.875,29.33333333,6.88,1,0.68,0.21,1.27,3.67,0.63,0.11,0.24,30.2,76.875
1979-05-16 00:00:00+00:00,83.25,27.35333333,2.03,1,6.88,0.68,0.21,1.27,3.67,0.63,0.11,29.33333333,79.875
1979-05-17 00:00:00+00:00,86.5,27.17916667,16.43,1,2.03,6.88,0.68,0.21,1.27,3.67,0.63,27.35333333,83.25
1979-05-18 00:00:00+00:00,82.625,26.65208333,9.73,1,16.43,2.03,6.88,0.68,0.21,1.27,3.67,27.17916667,86.5
1979-05-19 00:00:00+00:00,89.83333333,25.48208333,88.55,1,9.73,16.43,2.03,6.88,0.68,0.21,1.27,26.65208333,82.625
1979-05-20 00:00:00+00:00,88.33333333,25.84791667,6.14,1,88.55,9.73,16.43,2.03,6.88,0.68,0.21,25.48208333,89.83333333
1979-05-21 00:00:00+00:00,89.45833333,26.60291667,3.15,1,6.14,88.55,9.73,16.43,2.03,6.88,0.68,25.84791667,88.33333333
1979-05-22 00:00:00+00:00,85.20833333,27.64291667,0,0,3.15,6.14,88.55,9.73,16.43,2.03,6.88,26.60291667,89.45833333
1979-05-23 00:00:00+00:00,85,28.13125,1.06,1,0,3.15,6.14,88.55,9.73,16.43,2.03,27.64291667,85.20833333
1979-05-24 00:00:00+00:00,87.83333333,27.46625,5.09,1,1.06,0,3.15,6.14,88.55,9.73,16.43,28.13125,85
1979-05-25 00:00:00+00:00,87.66666667,28.25708333,1.6,1,5.09,1.06,0,3.15,6.14,88.55,9.73,27.46625,87.83333333
1979-05-26 00:00:00+00:00,86.08333333,28.83875,1.28,1,1.6,5.09,1.06,0,3.15,6.14,88.55,28.25708333,87.66666667
1979-05-27 00:00:00+00:00,81.04166667,29.45375,0.24,1,1.28,1.6,5.09,1.06,0,3.15,6.14,28.83875,86.08333333
1979-05-28 00:00:00+00:00,80.75,29.28916667,0.29,1,0.24,1.28,1.6,5.09,1.06,0,3.15,29.45375,81.04166667
